titles,desc,valid
Asterisk SR,"Desenvolvimento de soluções de comunicação e personalização de aplicações de URA, Discadores e Call Centers, utilizando linguagens de programação e ferramentas abertas para desenvolvimento de software.Desenvolvimento usando ferramentas de integrações para plataformas Siemens (CSTA) e Asterisk (AMI/AGI) e protocolo de sinalização SIP.",indefinido
Web / UI / UX Designer / Tech Leader,"A Teledata tem uma plataforma de telecomunicações. A Companhia oferece atendimento telefonico usando inteligência artificial e sistema de URA. Integrando o seu sistema com qualquer sistema legado de cliente.Minha função e responsabilidades:• Desenvolvimento de Aplicações Web• Web Services (SOAP, REST)• Banco de Dados (MySQL, Postgre, SQL Server)• Integrações CTI• Desenvolvimento em Asterisk, LUA, AGI• Desenvolvimento de chat com IA• UX e design de interface do usuário• Design do site• Documentação de aplicações desenvolvidas• Gerenciar e liderar a equipe• Elaborar projetos de demonstração para lançamentos de novos produtos• Colaborar diretamente com o fundador e CTO: definir requisitos, projetar novos recursos e funcionalidades do produto, discutir feedback, sugestão de melhorias",back
Designer freelancer,"O Studio Dias é especializado na Criação, Produção e Execução de Projetos de quiósques, carrinhos e lojas.Minha função e responsabilidades:• Desenho de ilustrações e gadgets para eventos• Design do site• Elaboração de projetos de demonstração para lançamentos de novos produtos• Colaborar de perto com a equipe de desenvolvimento: teste, fornecimento de feedback, sugestão de melhorias",indefinido
"Art Director, Web / UI Designer","Zisk Sistemas Online é uma empresa de sistemas online, com foco em aplicações para escolas.Minha função e responsabilidades:• Direção da arte• UX e design de interface do usuário• Design do site• Design de aplicativo• Colaborar de perto com as equipes de desenvolvimento e marketing em lançamentos de produtos",indefinido
Web / Art Designer,Pés Sem Dor é uma empresa com foco em saúde dos pés. Sendo a maior no seu ramo.Minha função e responsabilidades:• UX e design de interface do usuário• Design do site• Edição de imagens• Colaborar de perto com as equipes de desenvolvimento e marketing em lançamentos de produtos e campanhas online.,indefinido
Developer,"Working with event remediation processes to improve existing and create new automations, using python and ansible, increasing self-healing processes and usage of data analysis. Created a dashboard with node.js and reactjs. Automated several recurring tasks to improve processes and teammate’s quality of life at work.",fullstack
Web Programmer,"Responsible for the company's website maintenance, as well new changes and implementations; frontend as well backend, maintenance of the server, mostly working with Wordpress, JavaScript, CSS, HTML and PHP. Now working on smaller projects using Node.js and React.js.",fullstack
Developer,Product implementation team for AT&T's billing system.Responsible for implementation of new products into production and live support for the billing system.,indefinido
Full-stack Developer,"I work developing, improving and maintaining landing pages, static sites, dashboards and REST Api's. I am part of a 4 members squad and I help the squad leader with some management routines, such as creating and splitting tasks. I work with Node.js, Serverles, React, Next.js and MongoDb.I helped to develop a Kanban using React and GraphQl. It was a hard challenge and I was in charge to develop the columns structure. Every collumn have it own custom fields and I developed the customization of these columns, such as the render of these fields. I am also used to solve some bugs and find solutions quickly to fix them.",fullstack
Full Stack Developer,"I worked, mainly, using Node.js and React.js. I developed, lonely, a project with an Node.js REST API, an frontend using React and an Electron.js desktop app.",fullstack
Full Stack Developer,"I developed the company management system. It was built with Typescript, Node.js, React and Express. I used PostgreSQL as database and TypeOrm to connect to it.",fullstack
Engenheiro Front End Pleno,"Correções de bugs; Melhoria de código; Alterações expressas; Utilizando VueJs, Blade Template (Laravel), Javascript, HTML, SCSS; Seguindo corretamente os padrões de código.",front
Desenvolvedor Front End Pleno,"Criação de componentes para o Storybook; Testes unitários; Refatoração do sistema monolito em PHP (Laravel) para VueJs; Elaboração do site; Correções de bugs de interface; Utilizando VueJs, Javascript, HTML, SCSS, i18n, Jest.",front
Desenvolvedor Front End Junior,"Elaboração de páginas estáticas e landing pages com consumo de APIs para preenchimento de dados, utilizando VueJs, Javascript, HTML, CSS, SASS, PWA e com implementação de internacionalização (i18n).",front
Frontend Developer,"Atuando no desenvolvimento e otimização do produto Globoplay para Smart TV.Tecnologias usadas: React, Typescript, Jest, Docker, Cypress.",front
Mobile Developer,"Responsável pelo desenvolvimento e manutenção de aplicações web e mobile incluindo definições de arquitetura utilizando as melhores práticas.Tecnologias utilizadas: React, React Native, NodeJS, Typescript, App Center, Fastlane.",mobile-fullstack
Frontend Developer,"Responsável pelo desenvolvimento, manutenção e otimização de software.Tecnologias utilizadas: Ruby on Rails, React, React native, Redux, sidekiq, circleci, cypress",front
Full Stack Engineer,"We are the fastest growing Technology Solutions company in Latin America. Our applicant pool is the largest in the industry: over 1.2 million Software Engineers apply to work with us each year, and we hire only the Top 1% of IT Talent, creating solid teams of 100% bilingual veteran developers.We provide end to end delivery for companies of all sizes, from startups to some of the biggest companies in the world, including Google, Rolls-Royce, Pinterest, EY, SiriusXM, Motorola & ViacomCBS & Chime, among others. The heart of our work is Software Outsourcing, Testing and Operational Support which we provide through a service of fully managed teams that integrate seamlessly into your projects.We are a group led and guided by an Agile mentality.We are a firm founded and run by Developers.We are Powered by Technology and Driven by Talent.",indefinido
IT Developer Coordinator,"Responsible for Development management, implementing solution, Data Center and Network infrastructure, operations and architecture.",indefinido
System Analyst,"Created, tested and debugged a middleware application using .Net WebAPI2 and C#.",back
Software Developer / Application Support .Net,"(Electronics’ Sales Customer) Analysis of the existing system and development improvements is accordance with requirements. In addition, suggest best practices and fixes to increase performance.(Financial Customer) Write methods and all definitions based on an UML design and act as technical leader. Check application design and suggest a better approach on architecture.(Oil Industry Customer) Production support using .Net technology, ASP, Oracle and SQLServer. Developed new applications and enhancements.Maintained existing chromatographic analysis’ program by making minor modifications as required.",back
Sr. System Analyst,"Created, tested and debugged Call Centre Contact Management system, using ASP.Net MVC and SQLServer",back
Software Eng,"Created, tested and debugged applications, using ASP.Net, C# and SQLServer.",back
System Analyst,"Worked on projects including develop a custom care framework for a telecom company, develop and implement reports and a hybrid system (web based and windows forms based).",indefinido
Sr Software Developer,"(Logistics Customer) Created, tested and debugged a Track & Trace application using C# and Oracle. This application was originally developed using ASP and SQLServer.Created, tested and debugged the company’s intranet using ASP.Net, C# and Oracle.",back
IT Specialist,"(Electronic Commerce project) Created and executed Functional Test Cases.(Car Rental Customer) Production support and client relationship. Using C#, ASP.Net, SQLServer (stored procedures and DTS), Visual Basic 6 and ASP.(Real Estate Broker Customer) Crated, tested and debugged web pages using ASP.Net, C#, SQLServer. Production support using .Net technology.(Electronic Commerce project) Operated mainframe (AIX), created reports and scripts to automate the process.",back
Analista de sistema,"Alocado na conectar tenho a função de desenvolvedor atuando junto do PO e arquiteto criando documentações e novas soluções de sistemas ,ajudo no desenvolvimento de novos projetos de arquitetura quando possivel.",indefinido
Software Engineer,Trabalhava com o sistema contabil de um banco de investimento,indefinido
Analista de sistemas,Criação do Sistema Protec para empresas de locação e implantação com Case em implantação Empresa CentralLocadora ltda que faz a locação de gruas e elevadores para construção.,indefinido
Full Stack Developer,"Arquitetura e desenvolvimento de requisitos para nacionalização de software, para que produtos internacionais se adequem ao mercado nacional. Desenvolvimento de ferramentas de integração via webservices e micro serviços. Usando linguagens como c#, c++, javascript e typescript e frameworks: Angular, .Net framework, .Net Core, entity framework e ferramentas da AWS, Git e outros.",fullstack
Full Stack Developer,"Atuei com arquitetura e desenvolvimento de sistemas ERPs e integrações com terceiros, gerenciamento de projetos  com SCRUM. Colaborei na arquitetura e desenvolvimento de um sistema ERP. 
Experiência em versionamento com GIT. Desenvolvimento de frontend e backend usando as linguagens c#, javascript e typescript. Conhecimento em entity framework e banco de dados SQLServer, Mysql e MongoDB.
Gerenciamento de servidores e serviços para disponibilização de produtos.
Conhecimentos em webservices, micro serviços, Angular JS, Angular 2, SQL Server 2012/2014 e Integração de sistemas.",fullstack
Analista e consultor de desenvolvimento,"Atuei como desenvolvedor de soluções para plano de saúde e obrigações para ANS. Usando tecnologias como Delphi, SQL Server, Oracle, MySQL. Instalação e configuração de servidores com windows server e linux.
Analise e desenvolvimento de requisito para personalização de sistemas e implantação. 
Conhecimento em migração de sistemas, importação de dados, modelagem, escrita e leitura de arquivos XML. Desenvolvimento de NFSe.",back
Programador,"Desenvolvimento de sistemas hospitalares. Conhecimento em  processos hospitalares e obrigações para o SUS. 
Desenvolvimento com Delphi (orientado a objetos) e Oracle.
Configurações e manutenções de servidores Linux para oracle e outros serviços.",back
React/React Native Developer,"Develop of the tasks using react web, and react-nativeI was part of the team develop.Scrum methodology Planning, daily, review and retrospective",front
Developer Laravel/React-Native,"I worked with the PJ work regime for some timeand now I decided to leave my Linkedin with this information,I am in a remote job using PHP, through the LARAVEL Framework.Ajota Digital is my company, through which I work providing services.The technologies / frameworks I know are: - PHP Laravel - Pure PHP - PHP Codeigniter- Mysql- Postgresql- Pure Javascript- Javascript Jquery- Javascript React- Javascript React-Native- Javascript AngularJs",fullstack
Senior Development Analyst,"Rewriting the current system using PHP using the Codeigniter framework, MVC, jsI develop the most critical parts of the system, the most complex features,the others, simpler I distribute among the team, a JR programmer and an intern.I take care of the alignment of delivery expectations with the IT manager, reporting directly to him.",back
Senior Developer Analyst,"Work allocated in Client, Maintenance in legacy systems in Php, Mysql, Java, JavaScript.Requirement survey, Configuration of Linux servers to run the system.Validation with users.Flow design and improvement suggestionsI returned to the company in Nov / 2018 and started on the company's main project with C #, and scrum methodology",back
Senior Systems Analyst / Development Team Coordinator,"Receive demand requested by customers, and develop coding solving the problem found or the new activity requested, using the programming language php, javascript, jQuery, PostgreSQL database.Analysis of database structure for the requested activity.Sqls ScriptsRequirements gathering.Visits to clients when necessary.Coordinate development teamHire employees to be part of the team.Software specification.Requirements gathering,Analyze development time and quality for methodological improvements.Database and Sqls structure creationSchedule when necessary.Train / direct programmers, Interns.Assign activities to each programmer according to their knowledge",fullstack
Senior Software Engineer,"-	Develop, design, and document several APIs to support integration among many internal systems and third-party applications using .Net Core, Azure Event Grid, Cosmos DB, Azure Functions (.Net and Python), SQL Server, SOLID Principles, Swagger, Seq and Serilog.-	Lead meetings and transform business requirements into documents and code.-	Discuss and develop within architecture team new solutions using Microsoft Azure stack.-	Integrate local team with client team, based on Boston, MA.",back
Senior Software Engineer,"- Developed and design several applications to support financial, legal and compliance teams. - Worked along architecture team to find out the best solution to business needs.- Designed and developed integration solutions to connect our solutions to partners and other internal applications (using REST APIs, Azure Functions).- Maintained legacy software to drive continuous improvements and migration to microservices approach",back
Project Developer,"- Led a team of 5 members in CI/CD migration from Go Automation to Azure DevOps using custom tools to build and deploy these applications.- Developed and maintained CI/CD custom tools written in Node JS, PowerShell, .Net, MSBuild, and Chef (using Ruby).- Managed the flow of day to day operations, reporting to US-based client, and serving as technical lead to local team",back
Software Engineer,"- Developed several applications (APIs, Web Portals, ETL system) to insurance companies using Microsoft Stack (.NET Framework, C#, SQL Server, SQL Server Integration Services).- Built and maintained ETL processes using MS SQL Server Integration services, to process incoming data and input it to company systems.- Maintained several insurance systems including billing, claims, reinsurance, and financials.",back
Software Engineer,"Atuando numa cliente multinacional, do segmento de modas e varejo.- Líder técnico de desenvolvimento na squad.Utilizando as seguintes tecnologias:- React.js- TypeScript- Context API- Storybook- Azure AD- Jest (testing library)",fullstack
CTO,- Responsável pela área de tecnologia- Líder do time de desenvolvimento técnico,indefinido
Co-founder & CTO,"• Líder técnico, responsável pelas decisões relacionadas a tecnologia e gestão das pessoas da área do produto.• Trabalhei no desenvolvimento técnico das aplicações de gestão e controle com as seguintes tecnologias: - TypeScript - ReactJS - Material UI - Styled Components - Redux - Context API• Trabalhei no desenvolvimento do aplicativo, utilizando as seguintes tecnologias: - TypeScript - React Native - Material UI - Context API• Trabalhei no desenvolvimento backend, utilizando as seguintes tecnologias: - TypeScript - NodeJS - MySQL - Typeorm - Express - Socket.io",fullstack
Front-End Tech Lead,"• Líder técnico do time de front-end.• Responsável pelo desenvolvimento de soluções voltadas para a plataforma Estádio TNT Sports, agindo na tomada de decisões por tecnologias a serem adotadas e a suporte ao time.",front
Desenvolvedor Front End | Pleno,"- Desenvolvimento de aplicações e plataformas web, landing pages e hotsites para o Estádio TNT Sports. Utilizando tecnologias como React.js, Redux, Redux Saga, Styled Components, Material UI, Bitmovin Player.- Desenvolvimento de aplicativos com React Native e tecnologias como Styled Components, Redux and Sagas.- Atuei no deploy e entrega das aplicações web com AWS S3 and Cloud Front.",front
Desenvolvedor Front-end,"- Desenvolvimento de aplicações web (chat em tempo real com diversas funcionalidades).- Responsável por decisões técnicas relacionadas ao desenvolvimento web.- Tecnologias adotadas: ReactJS, TypeScript, Redux, Redux Sagas, Styled Components, Socket.io, etc",front
Desenvolvedor Front-end,"• Desenvolvimento de aplicações web, como landing pages, plataformas internas e painéis de controle, utilizando tecnologias como React.js, Gatsby, Next.js. Bibliotecas e ferramentas como Material UI, Styled Components, Redux e desenvolvimento de interfaces com Figma.",front
Mobile Technical Leader,"• Líder do time técnico de desenvolvimento mobile• Desenvolvimento de aplicativo chamado ""PayToGo"", cujo principal objetivo é ajudar pessoas a centralizar pagamentos, transferências, compras e recargas.• Tecnologias e solução de problemas: - Redux - Redux Saga - Styled Components - Integração com React Native Bridge and criação de uma biblioteca nativa - i18n para tradução e moedas - Chat em tempo real (Firebase)",mobile
Founder & CTO,"• Líder técnico de desenvolvimento• Ajudei diversos clientes a criarem aplicações e soluções de problemas• Principais tecnologias e ferramentas adotadas: Node, React.js, React Native, NextJS, MySQL e etc.",fullstack
Development Internship,"• Estagiário de desenvolvimento de aplicações de prateleira, como softwares de gestão de produtos e afins.Adopted techlogies and tools:• Python• Delphi (Pascal)• Node.js• MySQL• PostgreSQL.",back
Estagiário de manutenção e rede de computadores,"• Estagiário de manutenção e rede de computadores, com principal foco em formatações, limpezas e manutenções de computadores.• Desenvolvimento de softwares que contribuíram para automatização de processos no estágio.",indefinido
Desenvolvedor front-end,Atuação como desenvolvedor front end com projetos em diversos clientes e trabalhando com React,front
Desenvolvedor front-end,Responsável pela implementação de layouts no front end na plataforma Hybris (SAP commerce),front
desenvolvedor front-end Jr,"Responsável por criar o design das interfaces visando a estética e usabilidade, e também pela implementação em código.",front
Auxiliar técnico em elétrica,"• Atuava na área de manutenção elétrica, como auxiliar• Executava manutenções corretivas e preventivas",indefinido
Estagiário,"• Atuava na aréa de manutenção elétrica, como estagiário técnico em eletrônica",indefinido
Estagiário,"adiquiri um grande conhecimento com os colegas, achava que sabia um pouco mas Primeiro estágio no ramo do desenvolvimento de sistemas web, e muito aprendi.",indefinido
Tech Lead Front-end,"Auxiliar o time no desenvolvimento da aplicação ou dúvidas técnicasExperiencia em squad multidisciplinarContribuir para a evolução de processos do timeComunicação para solução de problemas com os times paralelos ao técnico, tais como, Produto e Design;Utilização de metodologia scrum/kanban,Aplicação dos princípios SOLID, Clean Architeture e Clean Code.Garantir que as diretrizes de UX/UI sejam seguidas.Garantir os padrões de design system do produto.Construção de arquitetura de front-end responsivo e escalável.Boas práticas para reutilização de código, componentes e clean code.Sólidos conhecimentos em Typescript e ReactJs.",front
Tech Lead Front-end,"Auxiliar o time no desenvolvimento da aplicação ou dúvidas técnicasExperiencia em squad multidisciplinarContribuir para a evolução de processos do timeComunicação para solução de problemas com os times paralelos ao técnico, tais como, Produto e Design;Utilização de metodologia scrum/kanban,Aplicação dos princípios SOLID, Clean Architeture e Clean Code.Garantir que as diretrizes de UX/UI sejam seguidas.Garantir os padrões de design system do produto.Construção de arquitetura de front-end responsivo e escalável.Boas práticas para reutilização de código, componentes e clean code.Sólidos conhecimentos em Typescript e ReactJs.",front
Front-end Developer,"Desenvolvimento de aplicações utilizando ReactJs, NextJsSólidos conhecimentos em Typescript.Conceitos de spy e mocks em teste de aplicaçãoUtilização de dockerAplicação de design systemCriação de interface mobile first.Conhecimento em GitExperiência com metodologias ágeis e trabalho em squads;Vivência com desenvolvimento de aplicações mobile e SPA.",front
Full Stack Developer,"Habilidades no Back-End: Desenvolvimento usando as tecnologias Node.js, Express, MySQL/Sequelize, Docker, GIT, Koa, GraphQL, Testes unitários e de integração. Habilidades no Front-End: Desenvolvimento utilizando Vue.Js, Angular, JavaScript, Apollo, consumo de APIs, conhecimentos de estado em aplicações SPA, conhecimento em boas práticas como Clean Code. Conhecimento em metodologias ágeis (Scrum/Kanban);Trabalho em equipe com a ferramenta JiraTrabalho com versionamento de código, com Git juntamente com a ferramenta Bitbucket",fullstack
Front-End Developer Vue.js,"Responsável por duas áreas dentro da empresa: Desenvolvimento Front-end e Social Mídia. Sendo responsável na parte de desenvolvimento front-end com vasto conhecimento em HTML5, CSS3, SASS, Javascript (ES6). Utilização de UX e UI para a criação de Wireframes, protótipos e interfaces, validação de experiências através de testes e/ou Testes A/B. Definição do roteiro assim como a execução das pesquisas e testes que atendam as necessidades dos stakeholders. Definição da arquitetura e construção do Front-end de sistemas e aplicações web, implementação de códigos escaláveis, fáceis de manter, eficientes e elegantes e testes automatizados. Responsável pelo desenvolvimento de marca, auxiliar no planejamento estratégico, gestão e monitoramento de redes sociais, planejamento mensal do cronograma de posts, criação de peças digitais, peças gráficas e publicitarias, criação de identidade visual e manual básico de aplicação, evolução de branding e identidade visual das campanhas. Planejamento ações para ambiente web (redes e mídias sociais). Garantir que as ações promovidas para ambiente web gerem leads qualificados para os novos produtos, bem como fortaleçam a presença das marcas e produto unidos no ambiente web em geral, mantendo-se sempre coerentes com o valor e o posicionamento da empresa.",front
Web Developer Wordpress,"Responsável pelo desenvolvimento na estrutura do Wordpress de temas, plugins, sistemas e aplicações, determinando interface gráfica e critérios ergonômicos de navegação. Experiências em: WordPress, HTML, CSS, Javascript (jquery, javascript), PHP, MySQL, Criação de Temas, Desenvolvimento de plugins, Manutenção em código, Pre-processadores (sass ). Habilidades em: HTML, CSS, JavaScript, JQuery, Bootstrap, banco de dados MySQL, manutenção do ambiente de sites em infraestrutura de servidores.",fullstack
Assistente de E-commerce Senior,"Desenvolvimento de marca, aumento do tráfego de sites, interface de usuário de sites e receita de publicidade. Desenvolvimento de sistemas de estatística e estratégia de marca.Desenvolvimento de Campanhas Google, analise de trafego e conversões. Atendimento ao clientes, pós vendas e emissão de NF.Pesquisa de mercado e novos parceiros para divulgação da empresa. Criação de artes (banners, e-mail marketing e eventos).Desenvolvimento de e-Commerce. Migração de Sistrma, Configuração e implatação de ERP e SAP. Analise e desenvolvimento de projetos em plataforma de e-commerce.Experiência em desenvolvimento web com PHP. Experiência em Framework PHP. Experiência em banco de dados relacional e serviços REST.Conhecimento em HTML, CSS, JQuery (JS). Conhecimento em metodologia ágeis (Scrum). Conhecimento em servidores Linux. Conhecimento em banco não relacional (NoSQL) e/ou sistema de cache (memcached). Controle de versão com GIT. Conhecimento em Vagrant ou Docker. Automatizador de tarefas de Front-end - Glup. Desenvolvimento de aplicativos híbridos.",fullstack
Coordenadora Marketing Digital,"Coordenação de marketing para e-commerce, gerenciamento de carteira de clientes, criação de toda área de arte da empresa, Google Adwords, Google Analytics, Google Trends, Links Patrocinados, Campanhas E-mail Marketing, Fluxo de Estoque, NF's, Cadastro e Manutenção de Produtos, Editor de Imagens, Elaboração de Meta Tags, Atendimento e suporte ao Cliente, Relátorios,Dashboard , desenvolvimento de websites, layout e banners. Montagem de sites e implantação dentro de sistema asp e asp.net, Coordenação de equipe de TI, envio de relatórios mensais de demandas e prazos para desenvolvimento.",indefinido
Desenvolvedor da web,"Analise e desenvolvimento de projetos em plataforma de e-commerce. Implantação de sistema ERP.Experiência em desenvolvimento web com PHP. Experiência em Framework PHP. Experiência em banco de dados relacional e serviços REST.Conhecimento em HTML, CSS, JQuery (JS). Conhecimento em metodologia ágeis (Scrum). Conhecimento em servidores Linux. Conhecimento em banco não relacional (NoSQL) e/ou sistema de cache (memcached). Controle de versão com GIT. Conhecimento em Vagrant ou Docker. Automatizador de tarefas de Front-end - Glup. Desenvolvimento de aplicativos híbridos.",fullstack
Supervisora Web,- Desenvolvimento de Sites;- Campanhas Google;- Adword; - Adsense;- Seomoz- Atualização de estoque;- Elaboração de planilhas;- E-mail Marketing,indefinido
Engenheira de software,Desenvolvimento de plataforma de apostas esportivas,indefinido
Analista de Sistema,Competências: Desenvolvimento de software · Tecnologia da informação,indefinido
Frontend Developer,"• Allocated at TV Globo, performing maintenance and development on portals and dashboards with node, html 5, css 3, sass, javascript and bootstrap technologies.• Consumption restfull webservice with vue, vuex and vuetify.• Use of Power Automate to automate sending emails.• Using Sharepoint to create lists, tables and document libraries.• Code versioning with git, github, gitflow and azure (tfs).",front
Frontend Developer,"• Creation of layouts and wireframes with figma and illustrator.• Management and code versioning using azure (tfs).• Maintenance and development of Electronic Systems for City Halls in .Net applications, using sass, html 5, css 3, javascript (jquery) and bootstrap.• Maintenance and development of Electronic Services Invoice systems using react, reactstrap, styled-components and css-in-js.",front
Frontend Developer,"• Diagramming and coding layout and wireframe with figma and illustrator.• Maintenance and development of portals and systems with html 5, css 3, javascript (jquery), react, react-router, styled-components and bootstrap.• Maintenance and development of themes for wordpress with php.• Set-up of Locaweb, Hostgator and Hostinger hostings.• Use of leaflet.js library for georeferencing.",front
Frontend Developer,"• Set-up of Locaweb, Hostgator and Hostinger hostings.• Creation of layouts and wireframes with figma and illustrator.• Wireframes and mockups development using php, html 5, css 3, javascript (jquery).• Maintenance and development of themes for wordpress with php.",front
Frontend Developer,"• Maintenance and development of systems for the customs market with sass, html 5, css 3, javascript (jquery) and bootstrap.• Maintenance and development of themes for wordpress with php.",front
Senior Software Architect,"- Located on project @UOL- Responsible for building microservices using java with spring boot, node with nestjs/graphql;- Responsible for build microfrontends using angular and angular elements;- Responsible for manage the jenkins ci server for build services and front ends;- Responsible for design kubernetes scripts for automated deployments.",fullstack
Software Developer | Devops | Software Architect,"Responsible for build microservices in ruby, python and nodejs, running on AWS EKSBuild infrastructure on AWS using TerraformsBuild Android Native applications for payment machines (Smart POS)",back
Senior Software Architect,"Project architect, responsible for the projects below:Access Management: Project that integrates human resources with IT, automating tasks such as Active Directory user creation, Mailboxes, Skype and standard permissions on IT-developed systems. It also performs audits on other systems.Conex-e: Project that compiles information from various bases and produces analytical reports automatically, pointing out irregularities in the supervised of the agency.Price Radar: Project that compiles a base of prices practiced in the state, and shows in a panel open to the public, making various analyzes such as maximum, average and minimum price by region, heat map, among other analyzes.Typologies Radar: Project that analyzes texts extracted from various bases, crossing words and also crossing data in order to point out risks of irregularities in public procurement processes.Digital Signer: Design for digital document signing, using type A1 and A3 certificates.Also responsible for the continuous integration environment, containing:- GitLab, for source code management;- Jenkins, for automation of builds and publications;- SonarQube, for code quality assessment and test coverage;- JFrog Artifactory, for storing compiled artifacts. ",back
DBA / Analista de BI,"Responsible for the integration between payroll and social security system of 5 Brazilian states, namely: Mato Grosso, Amazonas, Minas Gerais, Rio Grande do Norte and Amapá. Also responsible for all application infrastructure, using OC4J (java container) and Oracle database. Responsible for backups and high availability.Developed several BI projects in TCE / MT, among them: Citizen Application, Accounting Application, Process Inventory, Price Panel, etc.As a consultant still at TCE / MT I was architect of Conex-e project, developed using Java technology, and also developing integrations of this to other systems",back
System Analyst,"Responsible of several products of the company, using Delphi 5-7 and started the migration for asp.net of this products. Created a framework and prepared training for new developers to build new products in the asp.net platform.",back
Developer,"My first job as a developer, using old technologies for UNIX development, in Pick Basic and D3 Database. Also, worked with Visual Basic 6.0, Visual Basic.Net, C#, Delphi. Projects in the mobility area, with Visual Basic Mobile for Windows Pocket and Palm OS.",back
Desenvolvedor Front End,"Projeto Kitanda Familiar: um evento realizado anualmente voltado à culinária. Nessa aplicação foi responsável por desenvolver o layout da aplicação, seguindo a fidelidade do mock up que foi desenvolvido por um UI/UX Design, cuidei da integração com uma api de emails para notificar a empresa de todos os que estão a se inscrever para o evento e tornar o site acessível para os mais diversos dispositivos tais como Desktops e Mobiles. Tecnologias Usadas: Docker | Docker Compose | ReactJs | TypeScript | Axios | Git | GitHub | Scrum | Trello | Styled-Components | NextJs | Swiper | Styled-icons | Husky | Email Js.Projeto LNS: é uma empresa que faz a venda de cofres das mais diversas categorias. Nesse projeto fui responsável por cuidar do layout responsivo, e fazer a integração com um CMS para prover as informações de forma dinámica no site.Tecnologias Usadas: Docker | Docker Compose | ReactJs | TypeScript | Axios | Git | GitHub | Scrum | Trello | Tailwind Css | NextJs | Swiper | Hero icons | Strapi Content Manager System.Projeto Nuvenz Blog: fui responsável por cuidar do blog no site da empresa, fazer a renderização dos conteúdos de forma dinâmica para o site.Tecnologias Usadas: Node Js | WordPress | StoryBook | Sass | Php | Javascript.Projeto Meda: é um menu digital, a partir dele os responsáveis dos restaurantes conseguiriam gerenciar e disponibilizar para os seus clientes os produtos que estão disponíveis e indisponíveis no seu restaurante a partir da plataforma. Nesse projeto cuidei do backoffice da aplicação onde o restaurante registrava os produtos, marcava a disponibilidade de cada um deles também.Tecnologias Usadas: Docker | Docker Compose | ReactJs | TypeScript | Axios | Git | GitHub | Scrum | Trello | Bootstrao | Reactstrap | Vite Js.",fullstack
Desenvolvedor Front End | UI Design,"Projeto Nzimbu Pay Bank: é um open banking, ou seja é um banco digital onde a partir dele podemos efetuar todo tipo de atividade que fazemos com os bancos presenciais, porém tudo de forma digital. Nesse projeto cuidei da parte visual da aplicação, desde a criação da interface com o figma até o code, onde fiz a integração com as apis de pagamentos, cuidei do backoffice para gerência do fluxo de transações, monitoramento dos logs e atividades feitas pela aplicação.Tecnologias Usadas: Docker | Docker Compose | ReactJs | TypeScript | Axios | Apollo Client | Git | GitHub | Graphql | Scrum | Tdd | Styled-Components |Redux | NextJs | Jest | Swiper | Redux Saga | Styled-icons | Husky.Projeto Libongo(Api Gateway): é uma api gateway que serve como ponte entre uma api e uma aplicação, ou seja, ela faz uma encriptação de uma determinada api e define o limite de requisições para api, pontos de acesso à api e uma gerência da api. Nesse projeto cuidei apenas da parte visual, do design system da aplicação, do ux research para desenvolver uma proposta de layout agradável para o nosso usuário final.Tecnologias Usadas: Figma | Mindmap | Wireframe | Photoshop | Icomon | box icons | Design System.Projeto Macuta Pay: é um canal interbancário de pagamentos, a partir dele conseguimos pagar diversos serviços tais como, internet, recargas telefônicas, transferências bancárias etc. Nesse projeto cuidei de todo processo de pesquisa até a criação da interface final do projeto.Tecnologias Usadas: Figma | Mindmap | Wireframe | Photoshop | Icomon | box icons | Design System.",front
Desenvolvedor de Software | Team Leader,"Projeto Gestor escolar Jandyegi: é um projecto para gestão escolar com diversos módulos, dentre eles o de pagamentos, controle de estudante etc. Nesse projeto fui o responsável pela criação de toda a parte visual do projecto, por modelar a arquitetura do projecto, preparação do setup do projecto e desenvolver os módulos de controlo do estudante onde envolvia o registro do estudante, confirmação, validação dos dados entre outros, também desenvolvi o módulo de pagamento de mensalidades, uniformes e materiais escolares. A aplicação contava com duas versões: a web e a desktop.Tecnologias Usadas: C# | Entity Framework | Sql server | WFA | Python | Php | Laravel | Bootstrap 4 | Jquery | Ajax | Mysql | Git | Github.Projeto Gestor de creche: é um projecto para gestão de creches, onde a partir do mesmo os encarregados conseguem controlar como está o progresso do seu educando, saber se o mesmo já comeu, em que hora dormiu, saber sobre as actividades que a mesma entidade possui, ter um histórico das actividades realizadas para poder relembrar com seu educando etc. Fui o responsável principal para o desenvolvimento dessa aplicação. Cuidei tanto do backend como do frontend também.Tecnologias Usadas: Python | Flask | Mysql | Html 5 | css 3 | Javascript | Php 7 | Jwt | Axios cdn | Jquery | Bootstrap 4 | Adobe Xd | Git | Github.",fullstack
Desenvolvedor Front End,"Projeto MicroInvest: é um projeto onde os usuários investem em projetos de outros parceiros e após a produção do mesmo projeto eles têm um reembolso do valor que eles investiram no projeto, porém com um percentual a mais. Nesse projeto cuidei da parte do front-end, desde a criação da ui até a codificação da mesma interface, validações e a regra de negócio para a parte dos investimentos.Tecnologias Usadas: Adobe Xd | Mind Map | Wireframe | Html 5 | Css 3 | Javascript | Bootstrap 4 | JQuery | Font Awesome | Git | GitHub.",front
